"","cd","res","wte","f38_central","f38_10","f38_90","f38_PRWIN","prob_win","10","50","90"
"165",23,0.502247191011236,1,0.580047492011375,0.52041863328545,0.639353874116854,0.9583,0.098,0.412497240911732,0.457092860333849,0.498886727057622
"163",23,0.502247191011236,2,0.578186615846955,0.518419702411493,0.637924210217694,0.954471428571429,0.06,0.402569736667548,0.44579838807589,0.487337409592376
"162",23,0.502247191011236,3,0.563970695970696,0.502622710622711,0.625274725274725,0.909271428571429,0.044,0.405163060372784,0.447811746198607,0.487974291114522
"166",23,0.502247191011236,4,0.551634847487382,0.490834613415259,0.612230268451467,0.867785714285714,0.028,0.392358385155323,0.435712800560836,0.477321292980112
"164",23,0.502247191011236,5,0.538526808572891,0.477741204008485,0.599136859044693,0.797557142857143,0.018,0.39180103988526,0.429984270036164,0.476468002823647
"168",23,0.502247191011236,6,0.533475741792006,0.471703634341897,0.594838181073331,0.764157142857143,0.05,0.397956654332559,0.438404904956363,0.482651161509088
"173",24,0.515639327559857,0,0.597314285714286,0.529914285714286,0.664957142857143,0.9637,0.996,0.533920163137211,0.585556394564725,0.637616182004098
"169",24,0.515639327559857,1,0.599271428571429,0.531271428571429,0.667171428571429,0.965771428571429,0.976,0.531536411091464,0.582175960384629,0.633095228383546
"175",24,0.515639327559857,2,0.594514285714286,0.526771428571429,0.662385714285714,0.958928571428571,0.97,0.524231784241491,0.574069624175511,0.624959836722411
"172",24,0.515639327559857,3,0.592642857142857,0.524528571428571,0.6607,0.9551,0.974,0.529030125140638,0.580242317156309,0.633502882050421
"171",24,0.515639327559857,4,0.600485714285714,0.532157142857143,0.668571428571429,0.966342857142857,0.954,0.516015684609048,0.563482716778466,0.618311659314347
"170",24,0.515639327559857,5,0.593342857142857,0.524714285714286,0.661971428571429,0.954957142857143,0.958,0.51634071965934,0.567414932183061,0.616161588899466
"174",24,0.515639327559857,6,0.585228571428571,0.516414285714286,0.654185714285714,0.940871428571429,0.982,0.528700341831338,0.577716857594891,0.635658895764661
"177",25,0.544502085240566,0,0.619822550505422,0.548813324897371,0.690728778894398,0.982042857142857,0.988,0.530845902156197,0.582054281159264,0.633007217594468
"179",25,0.544502085240566,1,0.621190942130277,0.54966673042685,0.692273737180525,0.981828571428571,0.964,0.522096602571005,0.574225584084834,0.625795707797201
"181",25,0.544502085240566,2,0.616879772817562,0.544914144460957,0.688374556744111,0.978414285714286,0.944,0.515591910813831,0.567345097076481,0.618715322831406
"180",25,0.544502085240566,3,0.616247075614673,0.544134308373674,0.688006709533128,0.9781,0.966,0.521600447909538,0.576291353685226,0.632410428783804
"176",25,0.544502085240566,4,0.624736989244148,0.552285802569045,0.697041037034857,0.983671428571429,0.94,0.510444097962303,0.560150509461109,0.615525279204983
"178",25,0.544502085240566,5,0.617733178347042,0.545429130556332,0.690169651133705,0.978185714285714,0.94,0.512501091283246,0.561230621813949,0.614363913096566
"182",25,0.544502085240566,6,0.60833100363433,0.535482541971367,0.680738048644115,0.969771428571429,0.974,0.524584887578738,0.572106644620713,0.630589408524117
"189",26,0.603455284552846,0,0.692762120832658,0.619160565123234,0.766378408638902,0.998614285714286,1,0.577999315830269,0.629147847286373,0.686356287803095
"185",26,0.603455284552846,1,0.691937123410775,0.617702087538119,0.765627071701115,0.9984,1,0.576212567563812,0.625890270205728,0.681312234613634
"187",26,0.603455284552846,2,0.684438486129731,0.609540505900205,0.758644057808748,0.997842857142857,0.996,0.564592739636982,0.618091875179972,0.670790995483485
"184",26,0.603455284552846,3,0.686191605651232,0.611735588326286,0.760853872331649,0.997914285714286,0.998,0.571725325485311,0.625352105009202,0.68066801958189
"183",26,0.603455284552846,4,0.696710322780241,0.622018591906186,0.771431517847935,0.998585714285714,0.998,0.560600572662047,0.608811984553828,0.6666852434079
